participant,pair,block,trial,match_label,match_shape,trial_type,trial_label,trial_shape,response,RTms,acc
207844,3,2,1,sky,C.bmp,match,sky,C.bmp,m,200.4773000003297,1
207844,3,2,2,sky,C.bmp,match,sky,C.bmp,m,346.35720000005676,1
207844,3,2,3,sky,C.bmp,mismatch,air,S.bmp,m,32.22319999986212,0
207844,3,2,4,sky,C.bmp,match,sky,C.bmp,m,37.38260000000082,1
207844,3,2,5,sky,C.bmp,mismatch,sky,T.bmp,m,15.3866000000562,0
207844,3,2,6,sky,C.bmp,mismatch,air,C.bmp,m,38.85690000015529,0
207844,3,2,7,sky,C.bmp,match,sky,C.bmp,m,28.15639999971608,1
207844,3,2,8,sky,C.bmp,mismatch,air,T.bmp,m,42.96890000023268,0
207844,3,2,9,sky,C.bmp,mismatch,sky,T.bmp,m,49.51459999983854,0
207844,3,2,10,sky,C.bmp,mismatch,air,T.bmp,m,19.70520000031683,0
207844,3,2,11,sky,C.bmp,mismatch,sky,T.bmp,m,28.61050000001341,0
207844,3,2,12,sky,C.bmp,mismatch,sky,T.bmp,m,50.95709999977771,0
207844,3,2,13,sky,C.bmp,mismatch,earth,T.bmp,m,49.53320000004169,0
207844,3,2,14,sky,C.bmp,match,sky,C.bmp,m,53.91790000021501,1
207844,3,2,15,sky,C.bmp,mismatch,sky,S.bmp,m,49.44489999979851,0
207844,3,2,16,sky,C.bmp,mismatch,earth,T.bmp,m,46.1499999996704,0
207844,3,2,17,sky,C.bmp,mismatch,earth,T.bmp,m,37.51899999997477,0
207844,3,2,18,sky,C.bmp,mismatch,sky,S.bmp,m,28.34679999978107,0
207844,3,2,19,sky,C.bmp,match,sky,C.bmp,m,43.89739999987796,1
207844,3,2,20,sky,C.bmp,match,sky,C.bmp,m,48.23880000003555,1
207844,3,2,21,sky,C.bmp,mismatch,earth,C.bmp,m,80.49280000022918,0
207844,3,2,22,sky,C.bmp,match,sky,C.bmp,m,72.48220000019501,1
207844,3,2,23,sky,C.bmp,match,sky,C.bmp,m,61.7326999999932,1
207844,3,2,24,sky,C.bmp,match,sky,C.bmp,m,48.53910000019823,1
